Method,File,TP,TN,FP,FN,Accuracy,Precision,Recall,Specificity,F1,BCR,Runtime
2_tail_BCR,automaton_10_2_5_0~0.txt_ATM_BCR_Ktail.txt,76,71,19,14,0.8166666666666667,0.8,0.8444444444444444,0.7888888888888889,0.8216216216216217,0.8166666666666667,0.0025832653045654297
2_tail_BCR,automaton_10_2_5_0~1.txt_ATM_BCR_Ktail.txt,64,71,19,26,0.75,0.7710843373493976,0.7111111111111111,0.7888888888888889,0.7398843930635839,0.75,0.0
2_tail_BCR,automaton_10_2_5_0~2.txt_ATM_BCR_Ktail.txt,63,70,20,27,0.7388888888888889,0.7590361445783133,0.7,0.7777777777777778,0.7283236994219654,0.7388888888888889,0.0
2_tail_BCR,automaton_10_2_5_0~3.txt_ATM_BCR_Ktail.txt,64,79,11,26,0.7944444444444444,0.8533333333333334,0.7111111111111111,0.8777777777777778,0.7757575757575759,0.7944444444444445,0.0
2_tail_BCR,automaton_10_2_5_0~4.txt_ATM_BCR_Ktail.txt,67,66,24,23,0.7388888888888889,0.7362637362637363,0.7444444444444445,0.7333333333333333,0.7403314917127072,0.7388888888888889,0.0
2_tail_BCR,automaton_10_2_5_0~5.txt_ATM_BCR_Ktail.txt,70,68,22,20,0.7666666666666667,0.7608695652173914,0.7777777777777778,0.7555555555555555,0.7692307692307693,0.7666666666666666,0.0
2_tail_BCR,automaton_10_2_5_0~6.txt_ATM_BCR_Ktail.txt,65,76,14,25,0.7833333333333333,0.8227848101265823,0.7222222222222222,0.8444444444444444,0.7692307692307693,0.7833333333333333,0.0
2_tail_BCR,automaton_10_2_5_0~7.txt_ATM_BCR_Ktail.txt,64,65,25,26,0.7166666666666667,0.7191011235955056,0.7111111111111111,0.7222222222222222,0.7150837988826815,0.7166666666666667,0.0
2_tail_BCR,automaton_10_2_5_0~8.txt_ATM_BCR_Ktail.txt,63,72,18,27,0.75,0.7777777777777778,0.7,0.8,0.7368421052631577,0.75,0.0
2_tail_BCR,automaton_10_2_5_0~9.txt_ATM_BCR_Ktail.txt,61,71,19,29,0.7333333333333333,0.7625,0.6777777777777778,0.7888888888888889,0.7176470588235294,0.7333333333333334,0.0
3_tail_BCR,automaton_10_2_5_0~0.txt_ATM_BCR_Ktail.txt,66,72,18,24,0.7666666666666667,0.7857142857142857,0.7333333333333333,0.8,0.7586206896551724,0.7666666666666666,0.0
3_tail_BCR,automaton_10_2_5_0~1.txt_ATM_BCR_Ktail.txt,72,84,6,18,0.8666666666666667,0.9230769230769231,0.8,0.9333333333333333,0.8571428571428571,0.8666666666666667,0.0
3_tail_BCR,automaton_10_2_5_0~2.txt_ATM_BCR_Ktail.txt,72,82,8,18,0.8555555555555555,0.9,0.8,0.9111111111111111,0.8470588235294118,0.8555555555555556,0.0
3_tail_BCR,automaton_10_2_5_0~3.txt_ATM_BCR_Ktail.txt,87,90,0,3,0.9833333333333333,1.0,0.9666666666666667,1.0,0.983050847457627,0.9833333333333334,0.0005624294281005859
3_tail_BCR,automaton_10_2_5_0~4.txt_ATM_BCR_Ktail.txt,81,79,11,9,0.8888888888888888,0.8804347826086957,0.9,0.8777777777777778,0.8901098901098902,0.8888888888888888,0.0
3_tail_BCR,automaton_10_2_5_0~5.txt_ATM_BCR_Ktail.txt,70,76,14,20,0.8111111111111111,0.8333333333333334,0.7777777777777778,0.8444444444444444,0.8045977011494253,0.8111111111111111,0.0
3_tail_BCR,automaton_10_2_5_0~6.txt_ATM_BCR_Ktail.txt,78,88,2,12,0.9222222222222223,0.975,0.8666666666666667,0.9777777777777777,0.9176470588235294,0.9222222222222223,0.001004934310913086
3_tail_BCR,automaton_10_2_5_0~7.txt_ATM_BCR_Ktail.txt,67,83,7,23,0.8333333333333334,0.9054054054054054,0.7444444444444445,0.9222222222222223,0.8170731707317074,0.8333333333333334,0.0
3_tail_BCR,automaton_10_2_5_0~8.txt_ATM_BCR_Ktail.txt,69,84,6,21,0.85,0.92,0.7666666666666667,0.9333333333333333,0.8363636363636363,0.8500000000000001,0.0
